fdc_id,measure_unit_id,amount,gram_weight
167718,9999,1.0,131.0
167718,9999,1.0,125.0
167718,9999,1.0,125.0
167718,9999,1.0,125.0
167718,9999,1.0,125.0
167719,9999,1.0,130.0
167719,9999,1.0,168.0
167719,9999,1.0,36.0
167720,9999,1.0,179.0
167721,9999,2.5,71.0
167722,9999,1.0,262.0
167723,9999,1.0,29.1
167724,9999,1.0,21.0
167725,9999,1.0,50.0
167726,9999,1.0,15.0
167726,9999,1.0,113.0
167726,9999,1.0,113.0
167726,9999,1.0,113.0
167726,9999,1.0,120.0
167727,9999,1.0,252.0
167727,9999,1.0,31.5
167728,9999,1.0,2.5
167729,9999,1.0,31.2
167729,9999,1.0,125.0
167729,9999,1.0,125.0
167729,9999,1.0,125.0
167729,9999,1.0,125.0
167730,9999,1.0,244.0
167730,9999,1.0,30.5
167731,9999,1.0,15.0
167732,9999,1.0,15.0
167732,9999,1.0,113.0
167732,9999,1.0,71.0
167732,9999,1.0,113.0
167732,9999,1.0,71.0
167732,9999,1.0,128.0
167732,9999,1.0,71.0
167733,9999,1.0,15.0
167733,9999,1.0,113.0
167733,9999,1.0,113.0
167734,9999,1.0,28.35
167734,9999,1.0,37.0
167735,9999,1.0,132.0
167735,9999,1.0,113.0
167735,9999,1.0,18.0
167735,9999,1.0,28.0
167736,9999,1.0,15.0
167736,9999,1.0,239.0
167737,9999,1.0,14.0
167737,9999,1.0,4.5
167738,9999,1.0,151.0
167738,9999,1.0,262.0
167739,9999,1.0,36.0
167739,9999,1.0,71.0
167739,9999,1.0,355.0
167740,9999,1.0,9.9
167740,9999,1.0,40.0
167741,9999,1.0,113.0
167741,9999,1.0,260.0
167742,9999,3.0,85.0
167743,9999,1.0,21.0
167744,9999,3.0,85.0
167745,9999,3.0,85.0
167746,9999,1.0,212.0
167746,9999,1.0,58.0
167746,9999,1.0,84.0
167746,9999,1.0,7.0
167746,9999,1.0,58.0
167747,9999,1.0,244.0
167747,9999,1.0,30.5
167747,9999,1.0,48.0
167747,9999,1.0,5.9
167748,9999,1.0,15.0
167748,9999,1.0,5.0
167748,9999,1.0,30.5
167748,9999,1.0,244.0
167749,9999,1.0,6.0
167749,9999,1.0,2.0
167750,9999,1.0,149.0
167750,9999,1.0,103.0
167751,9999,1.0,248.0
167752,9999,1.0,248.0
167753,9999,1.0,256.0
167753,9999,1.0,32.0
167754,9999,1.0,190.0
167754,9999,1.0,609.0
167755,9999,1.0,123.0
167755,9999,1.0,312.0
167755,9999,10.0,19.0
167756,9999,1.0,256.0
167757,9999,1.0,250.0
167757,9999,1.0,284.0
167758,9999,1.0,122.0
167758,9999,1.0,51.0
167759,9999,1.0,241.0
167759,9999,1.0,170.0
167760,9999,1.0,175.0
167760,9999,1.0,558.0
167761,9999,1.0,225.0
167761,9999,1.0,625.0
167762,9999,1.0,152.0
167762,9999,1.0,232.0
167762,9999,1.0,166.0
167762,9999,1.0,144.0
167762,9999,1.0,27.0
167762,9999,1.0,18.0
167762,9999,1.0,12.0
167762,9999,1.0,357.0
167762,9999,1.0,7.0
167762,9999,1.0,147.0
